"","years","rmodel","SSBmed","SSBmin","SSBmax","Rmed","Rmin","Rmax","Fmed","Fmin","Fmax","Cmed","Cmin","Cmax"
"124",2038,"no_env_EM_OM2",164026.429828587,97299.4158870295,260861.04031261,3963117.25931291,1684260.7490714,11788187.6101444,0.268158779663703,0.207968123177963,0.359867727175413,40502.6222894516,21908.5791159124,63531.7168722366
"125",2039,"env_EM_OM1",127487.547069117,70365.2965966638,179155.622778341,2753508.85357859,854179.622780013,9003216.0918446,0.259055632172007,0.210743435780592,0.34794488516515,31898.7128081842,17315.467444084,50208.6387500983
"126",2039,"no_env_EM_OM2",162863.663854943,101537.022941457,247524.661293642,3860788.88061856,1009368.65374696,13849228.5324166,0.264516208508064,0.218387652166564,0.326867276698212,39211.2793804265,23642.5836163394,62118.2692789229
"127",2040,"env_EM_OM1",120600.611148705,78445.411819853,241872.551279933,3238931.45649955,1305927.47150574,10479976.6053302,0.259480933743932,0.21069431604863,0.368992595079633,30724.1490534902,18100.2127668645,62458.0308752602
"128",2040,"no_env_EM_OM2",159470.535708545,108578.91781344,248565.202705062,3946915.01266634,1387400.69067416,13374651.4293467,0.263036612857781,0.20272982442035,0.313484170984368,38175.0710361122,23329.503795243,61015.864235785
"129",2041,"env_EM_OM1",113957.206468775,72512.4766190252,220034.782838275,2968642.80099004,899067.957016733,8754932.73875567,0.268709376879553,0.210631237733955,0.346090499858644,29988.540696468,16214.491491666,63610.5828750082
"130",2041,"no_env_EM_OM2",157023.81546997,98683.5837933877,256261.033851369,3429835.46284949,850335.460743327,8633976.33777476,0.251129179890536,0.200555643314955,0.340675074998473,37631.2928160722,22788.2361412152,65671.0036743951
"131",2042,"env_EM_OM1",117425.517565524,75080.3602594486,231999.012616246,3697454.33192595,730122.315459904,9652710.11225532,0.264774604577827,0.218448714353463,0.34076819739577,30225.3185873806,17873.613036459,61686.7319393159
"132",2042,"no_env_EM_OM2",159659.600650111,95689.6252342627,283591.362650304,4169888.22847231,1065504.09027199,15495234.9129144,0.257116914822333,0.196847007776869,0.341236856786869,38417.8598642812,21372.4313550827,68634.2440536625
"133",2043,"env_EM_OM1",123838.653957623,68521.8378430737,209832.068755253,3564037.72233744,785831.728756176,11702097.1866473,0.264659623462348,0.222752550283567,0.359280465607678,30890.6347438732,17723.7267721488,54085.1933734138
"134",2043,"no_env_EM_OM2",143743.767482607,95244.4369934525,258285.364449344,3509511.4056184,1220952.54166642,12356821.0588138,0.259989381149264,0.201042695931207,0.320040909116419,37752.2700518257,21249.9088599665,67185.9817263768
"135",2044,"env_EM_OM1",121704.425537539,72896.1948776195,197752.935794812,2949554.69225172,877409.847927658,6772639.36094806,0.276744116992112,0.224809724845071,0.343537331298144,30996.7718171358,18170.5484382651,59434.3747535086
"136",2044,"no_env_EM_OM2",163000.835238419,90343.3514805871,248891.717355431,4119079.23310446,1033348.80902866,17015216.4021689,0.255605547014157,0.196152548506059,0.342062454223277,38040.5428759049,20951.8903146072,70915.2341124177
"137",2045,"env_EM_OM1",120182.692565161,68998.1189051902,237738.156035283,2912313.24219449,769059.682864587,11494631.4142498,0.272540174552471,0.223165433921569,0.368180379399976,31120.0559944376,16450.1945105797,58818.5242974326
"138",2045,"no_env_EM_OM2",146860.438024918,93613.0292677841,301917.464263811,5009538.28381796,1028156.57019769,12971010.3384443,0.253716169859331,0.201819190959485,0.328637840696417,35271.0745250633,19209.0445174216,76315.2209314048
"139",2046,"env_EM_OM1",123105.689632236,66056.4362686794,211084.851020423,3309694.18182391,869203.596191321,11143715.1939317,0.274115984271824,0.215468591994954,0.326890846254236,30996.6669465627,16525.5606388502,57330.730869094
"140",2046,"no_env_EM_OM2",155834.102457123,84594.0598404057,337180.327469157,4513258.70570168,1172266.68320756,15884423.4707983,0.263459018092152,0.200262646121143,0.36446820673835,40109.5056457912,20077.7859926877,86576.714938147
"141",2047,"env_EM_OM1",123141.48132652,66701.7905564051,204696.882556954,3219252.24488335,955454.718071194,13134050.8063463,0.274040272021889,0.226848172888096,0.362856015591549,32062.7671424333,18189.6747202631,57362.3090424452
"142",2047,"no_env_EM_OM2",171766.557056944,86195.164983089,301153.27439698,4323526.32647545,1349446.77440832,10757687.9405912,0.270867775268702,0.206281427259295,0.34671584674247,45411.7861288353,22564.3048840791,81299.6380330987
"143",2048,"env_EM_OM1",125314.893940518,76610.4979277816,206119.190722098,3271892.91705204,961974.288366667,9149702.20486237,0.278557749018796,0.223695400254454,0.379620885847107,33420.819176402,19386.7434837752,54670.634437222
"144",2048,"no_env_EM_OM2",170012.525080903,104856.495102655,300456.122351978,3437714.03021458,1042850.46558538,8395876.21170708,0.269247295102249,0.205859908340479,0.367694522359036,41281.3657153383,23301.8740557539,85230.9362442752
"145",2049,"env_EM_OM1",135486.255110555,77290.7311218203,188511.408526375,2602590.5907547,538615.721810383,10446008.0515495,0.290824847673157,0.226989399555076,0.359691639633821,36140.062209352,19452.601727637,59907.8025636916
"146",2049,"no_env_EM_OM2",170961.988754857,111205.121450376,275270.023014455,3142411.25391326,995727.420151289,14200890.9011957,0.267099666566957,0.198998464506247,0.32771896176541,40451.8282401977,25845.8900446756,66628.6667833693
"147",2050,"env_EM_OM1",124903.919809519,78730.1969045313,240730.509364745,3899090.9084396,1107467.40377196,9911933.86439501,0.267893996483931,0.225557923656312,0.347927442709629,31555.7178164208,20392.4204758859,59670.0893039717
"148",2050,"no_env_EM_OM2",169854.968452886,100406.740366552,238480.00863468,3778992.96954939,1092846.96978746,13463328.7219335,0.251565113419069,0.202303845688091,0.330902953995904,40388.1344699085,24945.1451511894,60494.4326628693
"149",2051,"env_EM_OM1",119772.783099503,78269.5858660628,200946.184680981,3179390.65171013,952870.869876386,10028254.8607591,0.270371113646577,0.207168021350751,0.350192304650106,29697.3875914293,18673.3779501838,54174.8847021715
"150",2051,"no_env_EM_OM2",150981.987505704,106406.462884683,245652.489359229,3830226.73994174,947267.635394157,12790904.7392656,0.256872698721301,0.200077111416721,0.336819866025079,38480.7308081094,26318.1767566174,57503.0631749969
"151",2052,"env_EM_OM1",126728.93872443,70668.8912675127,201573.712897045,3479549.82103211,784518.964215491,10998090.7154773,0.273981765512657,0.219286313442947,0.347457146766998,31630.2408740157,17560.9753845334,56241.6988204696
"152",2052,"no_env_EM_OM2",149291.253291083,104630.317183923,263053.884079209,3679729.58903148,1008556.35530818,11959384.3126875,0.256636848085394,0.19243404956578,0.349803302601932,35563.6531417958,23816.0133063187,64254.0604997955
"153",2053,"env_EM_OM1",130810.823167696,76089.1574778912,192658.279185438,2352701.71971599,756805.300958139,10105654.5269775,0.269992834033392,0.21626557811297,0.348270791110977,32771.1798266084,17791.8172954648,49815.5139276203
"154",2053,"no_env_EM_OM2",145432.188342966,101139.909588874,291923.524673613,3381833.32410394,1352081.38704202,16058067.2563853,0.253210827593458,0.20588493905983,0.347976567529129,35149.4370978708,23408.2229771008,69314.6952800485
"155",2054,"env_EM_OM1",122575.323009794,78406.8650104623,206216.038050374,2165296.56587053,705806.371630565,8599923.97282767,0.26921272096397,0.216102645879178,0.349397081941601,30507.0321420396,17765.6439204306,52794.2047129691
"156",2054,"no_env_EM_OM2",152810.073569108,101457.702238391,255435.431310213,4636022.56604563,1561674.34819965,18178591.3998025,0.254037810413299,0.206016853785966,0.360417369526717,35843.0614277863,22253.7030302609,73586.9284508073
"157",2055,"env_EM_OM1",119000.235389184,71093.5844658933,231412.414098833,3107133.58403721,989247.661910188,10244369.1197867,0.272090006958705,0.218388863707689,0.330936283715436,29322.8968851498,15141.648319262,54566.92909611
"158",2055,"no_env_EM_OM2",144983.656621471,95189.24774747,249953.180292299,3902164.23551505,1426182.53484365,11463261.5154574,0.254914949270052,0.198341196812629,0.363797650350015,35292.0514818192,23380.5791004419,71134.6492843649
"159",2056,"env_EM_OM1",110789.845347044,68253.4792930832,202855.297445718,3091948.60507302,857061.558374869,9051767.79403851,0.255471844847965,0.209396227749915,0.351545179631323,27080.6757474844,17695.2116237211,55549.1492760583
"160",2056,"no_env_EM_OM2",152731.174774166,102867.297962996,297666.600682316,4024324.96745134,1224084.45199564,12539250.6839957,0.265455462780824,0.212870644162569,0.333791857308987,37499.1890554237,23177.3758962831,69681.6259748785
"161",2057,"env_EM_OM1",114954.056342147,71114.7366118611,225730.665558637,2877760.66660976,816854.824587125,7121152.15276021,0.263120652158763,0.200973694075062,0.360342136017501,28208.5758665777,17285.1560741329,60819.4199632963
"162",2057,"no_env_EM_OM2",154432.69849044,97410.2429069152,306280.362177862,3308417.74131385,792162.225898597,14310817.5995109,0.268479912173861,0.219902961741354,0.37254357498113,39479.9119433802,23327.8437122936,85087.2373649182
"163",2058,"env_EM_OM1",107751.835905031,69537.5444613226,219445.686537825,2810445.60319957,677800.508603391,10490402.7277263,0.256051090927234,0.210004161210905,0.333878320535638,26800.0678375765,16423.6334283426,59848.0966717545
"164",2058,"no_env_EM_OM2",174054.135982052,95029.4244830727,274810.393103078,3321306.13447069,1115842.39120724,14739693.4395499,0.258894129602646,0.211965254408804,0.337838512992598,41977.6784299957,21950.8832827697,75218.1308064297
"165",2059,"env_EM_OM1",108098.917472174,69799.1775936184,179731.110375288,2904296.07145748,765717.747348159,10409015.3666732,0.267218317754243,0.211526490388012,0.321510836910508,28458.5503318744,17037.3493214845,46686.6641623982
"166",2059,"no_env_EM_OM2",162474.649933868,91427.7553928995,319479.316717285,4249997.766321,901753.238576382,13330949.6735184,0.252242227847543,0.206264104345386,0.339687456282021,38553.1584508941,20704.1600419471,79445.5555106341
"167",2060,"env_EM_OM1",106666.847135538,68871.1762740979,191174.399185694,2330833.94067978,811078.88917404,10103234.9015263,0.253700593074104,0.215312453807134,0.338148108088963,27396.9763865366,16091.1542855868,49090.4695932645
"168",2060,"no_env_EM_OM2",165145.909385699,88841.7839494051,281776.04694618,3782259.47094393,1563547.70813948,9387428.44498077,0.268813030368994,0.202339837199837,0.3497045745003,40710.5018850151,20080.1110318075,72063.2108372276
